0.02328785658,-52.02561035
-4.006785965,-51.86315918
-8.025652313,-51.38430176
-12.02247314,-50.59240723
-15.98669586,-49.49194336
-19.90812531,-48.08825684
-23.77687836,-46.38713379
-27.58341675,-44.39501953
-31.31856079,-42.11901855
-34.97327881,-39.56608887
-38.53919373,-36.74472656
-42.00820313,-33.66350098
-45.37232056,-30.33076172
-48.62408752,-26.75595703
-51.75671387,-22.94926758
-54.76294556,-18.91977539
-57.63720703,-14.67912598
-60.37331543,-10.23757324
-62.96624756,-5.606835938
-65.41149292,-0.7987060547
-67.70496826,4.17487793
-69.84321289,9.30168457
-71.82356567,14.56933594
-73.6440979,19.96516113
-75.30368652,25.47648926
-76.80108032,31.09145508
-78.13729858,36.79716797
-79.312146,42.58227539
-80.06904297,48.50478516
-79.5255127,54.46640625
-77.66008301,59.79477539
-74.72602539,63.90249023
-71.05622559,66.33691406
-67.05490112,66.76193848
-63.1873291,65.1473877
-59.45449829,62.86164551
-55.68532104,60.71425781
-51.88208008,58.70654297
-48.04704285,56.83981934
-44.18257751,55.11518555
-40.2909668,53.53374023
-36.37457275,52.09650879
-32.43577881,50.80444336
-28.47691956,49.65842285
-24.50045166,48.65910645
-20.50876465,47.80708008
-16.50429993,47.10292969
-12.48946075,46.54709473
-8.466707611,46.13994141
-4.438482666,45.88183594
-0.4072645664,45.77277832
3.624425125,45.83063965
7.653897858,46.03996582
11.67871017,46.39841309
15.69638214,46.90583496
19.70451813,47.56164551
23.70063629,48.36533203
27.68235474,49.31652832
31.64723511,50.41464844
35.59282837,51.65895996
39.51685181,53.04873047
43.41686096,54.58286133
47.29051208,56.26062012
51.13546143,58.08076172
54.94943848,60.0421875
58.7300415,62.14394531
62.47503052,64.38464355
66.30026855,66.23737793
70.31116943,66.14567871
74.0628418,64.01147461
77.1368103,60.14084473
79.19110107,54.97067871
79.9538147,49.06340332
79.36135254,43.10588379
78.21474609,37.30803223
76.91132202,31.58525391
75.44918213,25.94941406
73.82664795,20.41333008
72.04355469,14.98945313
70.10004272,9.691040039
67.9970459,4.531494141
65.73633423,-0.4757080078
63.32068481,-5.317382813
60.75371704,-9.980566406
58.0399292,-14.45266113
55.18433838,-18.72158203
52.19259033,-22.77524414
49.07142029,-26.60302734
45.82789917,-30.19460449
42.4692688,-33.53964844
39.00389404,-36.63010254
35.44004211,-39.45732422
31.7864624,-42.01384277
28.05210876,-44.29277344
24.24622803,-46.28781738
20.37829132,-47.99318848
16.45799255,-49.40412598
12.49517899,-50.51616211
8.499873352,-51.3253418
4.482320786,-51.82858887
0.4528240204,-52.02319336
0.02328785658,-52.02561035
-4.006785965,-51.86315918
