55.55647399,-61.6024578
51.88922237,-63.78438221
48.13793795,-65.81828263
44.31040808,-67.70495318
40.41358378,-69.44407622
36.45408107,-71.03533409
32.43844399,-72.47904445
28.37248452,-73.77425434
24.26176893,-74.91953436
20.11170841,-75.91281979
15.92753796,-76.75093415
11.71480896,-77.43133626
7.479129265,-77.94957905
3.22658879,-78.30328014
-1.03661205,-78.48894542
-5.303844445,-78.49895134
-9.567709818,-78.3294861
-13.82018019,-77.97514971
-18.05251651,-77.43101861
-22.25515646,-76.69185162
-26.41738315,-75.75145459
-30.52801932,-74.60665104
-34.57453278,-73.25251743
-38.54401659,-71.68698905
-42.42278955,-69.90863648
-46.19660216,-67.9173009
-49.85172856,-65.71568231
-53.37440565,-63.30791015
-56.75161979,-60.70001971
-59.97178676,-57.90042868
-63.02512397,-54.91993709
-65.64871813,-51.59797386
-67.24759956,-47.64420867
-68.41115427,-43.54003713
-69.21852625,-39.35073591
-69.72639088,-35.11426396
-69.97709956,-30.8546037
-70,-26.58763754
-69.81814153,-22.32432432
-69.44709884,-18.07324056
-68.89983097,-13.84121568
-68.18426919,-9.634443825
-67.30712879,-5.458166178
-66.27207264,-1.318418056
-65.08108108,2.779400524
-63.73470007,6.828777778
-62.23252262,10.82288427
-60.57282152,14.75409645
-58.75276772,18.613679
-56.76852462,22.391626
-54.61604718,26.07602566
-52.2906352,29.65385439
-49.7873552,33.10938863
-47.10184945,36.42531655
-44.23047989,39.58146751
-41.17096839,42.55560613
-37.92250345,45.32184412
-34.48969346,47.85556373
-30.88021904,50.13040019
-27.10575127,52.11919459
-23.18473361,53.80066451
-19.13985926,55.15718048
-14.99733917,56.17730717
-10.78565493,56.85770928
-6.53329189,57.20362799
-2.266628175,57.23650457
1.99605036,57.04289808
6.242576306,56.62550856
10.45808535,55.96495945
14.62421191,55.0436213
18.71937887,53.84608818
22.71834439,52.35901886
26.59354877,50.57431333
30.31591481,48.48958923
33.85746962,46.11088186
37.19241424,43.45010302
40.30055567,40.5275822
43.16617034,37.36666652
45.78196227,33.99610314
48.14617695,30.44448037
50.26215961,26.73927477
52.13764796,22.90669231
53.78281666,18.96976246
55.20954773,14.94817941
56.4312767,10.85973145
57.46079386,6.718553907
58.31016984,2.536717419
58.99120725,-1.675772105
59.51531163,-5.91081464
59.8929207,-10.16142193
60.1333902,-14.42203513
60.24488466,-18.68804835
60.23542967,-22.95549099
60.11116476,-27.22102773
59.88032894,-31.48227623
59.54781099,-35.73653647
59.1188025,-39.98237904
58.59813268,-44.21805687
57.99012951,-48.44198173
57.298843,-52.65304183
56.52638251,-56.8499666
55.55647399,-61.6024578
51.88922237,-63.78438221
